,,,MODI,MODI,MODI,MODI,MODI,MODI,MODI,MODI,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prolific ID,Animacy Condition,Frame Content Condition,Guess 1,Count Noun?,Guess 2,Count Noun?,Guess 3,Count Noun?,Guess 4,Count Noun?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,Guess 1,Emotion Adj?,Guess 2,Emotion Adj?,Guess 3,Emotion Adj?,Guess 4,Emotion Adj?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598f3d19e339120001fb8afa,animate,bleached,candies,1,keys,1,dollars,1,pets,1,large in size,0,concerned,1,concerned,1,expected,0,energetic,0,scared,1,worried,1,ready,0,happy,1,irritating,0,irritating,0,irritating,0,short,0,upset,1,upset,1,upset,1,attractive,0,excited,1,looking forward,0,pleased,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4da4fcc53d36a956cd6c29,animate,bleached,earphones music,0,write pencil,1,leaves of tree,1,flowers,1,funny,0,happy,1,happy,1,happy,1,tall,0,mad,1,nervous,1,nervous,1,athletic,0,calm,1,something relaxing,0,relaxing,0,strong,0,secure,0,mad,1,mad,1,fun person,0,altered,0,confident,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4da4fcc53d36a956cd6c29,animate,bleached,,,,,,,,,,,,,,,,,,,,,anxious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636581a8edbfeaf9a163095c,animate,bleached,Fruit,0,Apples,1,Apples,1,Apples,1,happy,1,happy,1,happy,1,happy,1,Dirty,0,scared,1,scared,1,happy,1,Adventurous,0,Awesome,0,Good,0,Good,0,Athletic,0,angry,1,angry,1,angry,1,Musical,0,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,It is some kind of food or something that you have large quantities of ,0,Food item you have around thee of ,1,Still a good item which are in substantial supply ,1,An item that is not in limited supply at all,1,A way to describe a person ,0,An attitude someone has towards a certain thing ,1,An attitude towards something or an event around it’s probability ,1,An emotion around something I.e feeling daxy ,1,Something that someone can be ,0,An emotion towards something ,1,confident,1,An attitude towards something such as enthusiastic or nervous ,1,A feeling or emotion,1,A description of someone or something I.e dirty ,0,An description of someone or somrthing i.e exciting or dirty ,0,A likely negative description of someone or something ,0,A way of describing someone or something,0,A feeling or attitude towards someone’s actions ,1,A feeling towards an individual ,1,A feeling towards someone or their actions ,1,A positive way to describe someone ,0,A feeling someone has ,1,A feeling or emotion about something ,1,A feeling towards something or someone’s actions likely positive ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,,,,,,,,,,,,,,,,,,,,,not confident,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,,,,,,,,,,,,,,,,,,,,,certain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394c4a71be9ebcc632f18f1,animate,bleached,,,,,,,,,,,,,,,,,,,,,uncertain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f2dee30160a0f13f3145b05,animate,bleached,Little plastic toys,1,Little plastic figures,1,Pens ,1,charms,1,diabetic,0,nervous,1,worried,1,anxious,1,adventurous,0,curious,1,curious,1,excited,1,fat,0,weird,0,weird,0,weird,0,athletic,0,nervous,1,annoyed,1,annoyed,1,sneaky,0,confused,1,antsy,1,agitated,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
