"","X","prolific_id","animacy_condtion","frame_content_condition","type","word_col","answers"
"1",3,"5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"2",7,"5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"3",11,"5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"4",15,"5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"5",19,"5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"6",23,"5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"7",43,"600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","DAXY","0"
"8",47,"600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"9",51,"600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","0"
"10",55,"600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"11",59,"600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","0"
"12",63,"600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","LARPY","1"
"13",83,"58bef6fd31de840001e84ba0","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"14",87,"58bef6fd31de840001e84ba0","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"15",91,"58bef6fd31de840001e84ba0","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"16",95,"58bef6fd31de840001e84ba0","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"17",99,"58bef6fd31de840001e84ba0","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"18",103,"58bef6fd31de840001e84ba0","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"19",123,"63e5285c67584a2d544c62c2","inanimate","bleached","Emotion Adj?-Conserv","DAXY","0"
"20",127,"63e5285c67584a2d544c62c2","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"21",131,"63e5285c67584a2d544c62c2","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","0"
"22",135,"63e5285c67584a2d544c62c2","inanimate","bleached","Emotion Adj?-Conserv","TROBY","0"
"23",139,"63e5285c67584a2d544c62c2","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"24",143,"63e5285c67584a2d544c62c2","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"25",163,"5d10afdd98423700019f6fc5","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"26",167,"5d10afdd98423700019f6fc5","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"27",171,"5d10afdd98423700019f6fc5","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"28",175,"5d10afdd98423700019f6fc5","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"29",179,"5d10afdd98423700019f6fc5","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"30",183,"5d10afdd98423700019f6fc5","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"31",203,"63d94472927e6eb086a7aa36","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"32",207,"63d94472927e6eb086a7aa36","inanimate","bleached","Emotion Adj?-Conserv","WILPY","1"
"33",211,"63d94472927e6eb086a7aa36","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"34",215,"63d94472927e6eb086a7aa36","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"35",219,"63d94472927e6eb086a7aa36","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"36",223,"63d94472927e6eb086a7aa36","inanimate","bleached","Emotion Adj?-Conserv","LARPY","1"
"37",243,"5ead37e98c0ee33cbbe5c14c","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"38",247,"5ead37e98c0ee33cbbe5c14c","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"39",251,"5ead37e98c0ee33cbbe5c14c","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"40",255,"5ead37e98c0ee33cbbe5c14c","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"41",259,"5ead37e98c0ee33cbbe5c14c","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"42",263,"5ead37e98c0ee33cbbe5c14c","inanimate","bleached","Emotion Adj?-Conserv","LARPY","1"
"43",283,"5ff23d181d6cb4710f0bbc63","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"44",287,"5ff23d181d6cb4710f0bbc63","inanimate","bleached","Emotion Adj?-Conserv","WILPY","1"
"45",291,"5ff23d181d6cb4710f0bbc63","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"46",295,"5ff23d181d6cb4710f0bbc63","inanimate","bleached","Emotion Adj?-Conserv","TROBY","0"
"47",299,"5ff23d181d6cb4710f0bbc63","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"48",303,"5ff23d181d6cb4710f0bbc63","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"49",323,"636913febcb7369c83a14188","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"50",327,"636913febcb7369c83a14188","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"51",331,"636913febcb7369c83a14188","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"52",335,"636913febcb7369c83a14188","inanimate","bleached","Emotion Adj?-Conserv","TROBY","0"
"53",339,"636913febcb7369c83a14188","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"54",343,"636913febcb7369c83a14188","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"55",363,"5e5c62d12e08c94395d291a3","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"56",367,"5e5c62d12e08c94395d291a3","inanimate","bleached","Emotion Adj?-Conserv","WILPY","1"
"57",371,"5e5c62d12e08c94395d291a3","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"58",375,"5e5c62d12e08c94395d291a3","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"59",379,"5e5c62d12e08c94395d291a3","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"60",383,"5e5c62d12e08c94395d291a3","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"61",403,"564a08bc6902220012c4b1a1","inanimate","bleached","Emotion Adj?-Conserv","DAXY","0"
"62",407,"564a08bc6902220012c4b1a1","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"63",411,"564a08bc6902220012c4b1a1","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"64",415,"564a08bc6902220012c4b1a1","inanimate","bleached","Emotion Adj?-Conserv","TROBY","0"
"65",419,"564a08bc6902220012c4b1a1","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"66",423,"564a08bc6902220012c4b1a1","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"67",443,"5f3e472b3897d202145e3040","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"68",447,"5f3e472b3897d202145e3040","inanimate","bleached","Emotion Adj?-Conserv","WILPY","1"
"69",451,"5f3e472b3897d202145e3040","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"70",455,"5f3e472b3897d202145e3040","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"71",459,"5f3e472b3897d202145e3040","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"72",463,"5f3e472b3897d202145e3040","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"73",483,"63d13d8fb1dc47968a984070","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"74",487,"63d13d8fb1dc47968a984070","inanimate","bleached","Emotion Adj?-Conserv","WILPY","1"
"75",491,"63d13d8fb1dc47968a984070","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"76",495,"63d13d8fb1dc47968a984070","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"77",499,"63d13d8fb1dc47968a984070","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
