"","prolific_id","animacy_condtion","frame_content_condition","type","word_col","answers"
"1","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","DAXY","upset"
"2","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","DAXY","1"
"3","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","DAXY","1"
"4","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","DAXY","1"
"5","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","WILPY","Jumper"
"6","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","WILPY","0"
"7","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"8","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","WILPY","1"
"9","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","SPOOVY","scared"
"10","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","SPOOVY","1"
"11","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","1"
"12","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","SPOOVY","[blank]"
"13","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","TROBY","happy"
"14","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","TROBY","1"
"15","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"16","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","TROBY","1"
"17","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","BRISPY","mad"
"18","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","BRISPY","1"
"19","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","1"
"20","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","BRISPY","2"
"21","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","LARPY","Good to use"
"22","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","LARPY","1"
"23","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","LARPY","0"
"24","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","LARPY","2"
"25","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess 1","BLICKET","Book"
"26","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Noun?","BLICKET","1"
"27","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Count Noun?","BLICKET","1"
"28","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","BLICKET","1"
"29","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","ROAK","Cut"
"30","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Verb","ROAK","1"
"31","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Transitive V?","ROAK","1"
"32","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","ROAK","1"
"33","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","PILKY","Fun"
"34","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","PILKY","1"
"35","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","PILKY","0"
"36","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","PILKY","1"
"37","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Guess","GORMY","Expected "
"38","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Adjective?","GORMY","1"
"39","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Emotion Adj?-Conserv","GORMY","0"
"40","5f7e292bc98b530dc2c16c4d","inanimate","bleached","Confidence","GORMY","1"
"41","600f4d6f796906128a17d781","inanimate","bleached","Guess","DAXY","good"
"42","600f4d6f796906128a17d781","inanimate","bleached","Adjective?","DAXY","1"
"43","600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","DAXY","0"
"44","600f4d6f796906128a17d781","inanimate","bleached","Confidence","DAXY","2"
"45","600f4d6f796906128a17d781","inanimate","bleached","Guess","WILPY","Smell of something"
"46","600f4d6f796906128a17d781","inanimate","bleached","Adjective?","WILPY","0"
"47","600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","WILPY","0"
"48","600f4d6f796906128a17d781","inanimate","bleached","Confidence","WILPY","2"
"49","600f4d6f796906128a17d781","inanimate","bleached","Guess","SPOOVY","moving,movement"
"50","600f4d6f796906128a17d781","inanimate","bleached","Adjective?","SPOOVY","0"
"51","600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","SPOOVY","0"
"52","600f4d6f796906128a17d781","inanimate","bleached","Confidence","SPOOVY","3"
"53","600f4d6f796906128a17d781","inanimate","bleached","Guess","TROBY","excited"
"54","600f4d6f796906128a17d781","inanimate","bleached","Adjective?","TROBY","1"
"55","600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","TROBY","1"
"56","600f4d6f796906128a17d781","inanimate","bleached","Confidence","TROBY","2"
"57","600f4d6f796906128a17d781","inanimate","bleached","Guess","BRISPY","looked"
"58","600f4d6f796906128a17d781","inanimate","bleached","Adjective?","BRISPY","0"
"59","600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","BRISPY","0"
"60","600f4d6f796906128a17d781","inanimate","bleached","Confidence","BRISPY","1"
"61","600f4d6f796906128a17d781","inanimate","bleached","Guess","LARPY","aware"
"62","600f4d6f796906128a17d781","inanimate","bleached","Adjective?","LARPY","1"
"63","600f4d6f796906128a17d781","inanimate","bleached","Emotion Adj?-Conserv","LARPY","1"
"64","600f4d6f796906128a17d781","inanimate","bleached","Confidence","LARPY","2"
