"","X","prolific_id","animacy_condtion","frame_content_condition","type","word_col","answers"
"1",3,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY","0"
"2",7,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY","0"
"3",11,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY","0"
"4",15,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY","0"
"5",19,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY","0"
"6",23,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY","0"
"7",27,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY","0"
"8",31,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY","0"
"9",35,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","BRISPY","0"
"10",39,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","BRISPY","0"
"11",43,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","BRISPY","1"
"12",47,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","BRISPY","1"
"13",51,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","SPOOVY","0"
"14",55,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"15",59,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"16",63,"5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"17",99,"5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","DAXY","0"
"18",103,"5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","DAXY","1"
"19",107,"5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","DAXY","1"
"20",111,"5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","DAXY","1"
"21",115,"5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","WILPY","0"
"22",119,"5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","WILPY","1"
