"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod",3,3795.6952246494,3813.76588182661,-1894.8476123247,3789.6952246494,NA,NA,NA
"ac_mod",4,3722.135679638,3746.22988920762,-1857.067839819,3714.135679638,75.5595450114001,1,3.54551854502184e-18
"fc_mod",5,3723.99938949043,3754.11715145245,-1856.99969474521,3713.99938949043,0.136290147574528,1,0.711997322247583
"int_mod",6,3723.12596583023,3759.26728018465,-1855.56298291511,3711.12596583023,2.87342366019948,1,0.0900531151032969
