"","prolific_id","animacy_condtion","frame_content_condition","type","word_col","answers"
"1","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 1","DAXY.1","bag"
"2","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","DAXY.1.1","0"
"3","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY.1.2","0"
"4","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 1","DAXY.1.3","2"
"5","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 2","DAXY.2","shawl"
"6","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","DAXY.2.1","0"
"7","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY.2.2","0"
"8","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 2","DAXY.2.3","2"
"9","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 3","DAXY.3","scarf"
"10","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","DAXY.3.1","0"
"11","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY.3.2","0"
"12","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 3","DAXY.3.3","1"
"13","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 4","DAXY.4","warm"
"14","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","DAXY.4.1","1"
"15","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","DAXY.4.2","0"
"16","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 4","DAXY.4.3","2"
"17","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 1","WILPY.1","cool"
"18","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","WILPY.1.1","1"
"19","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY.1.2","0"
"20","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 1","WILPY.1.3","2"
"21","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 2","WILPY.2","soft"
"22","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","WILPY.2.1","1"
"23","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY.2.2","0"
"24","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 2","WILPY.2.3","2"
"25","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 3","WILPY.3","person"
"26","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","WILPY.3.1","0"
"27","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY.3.2","0"
"28","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 3","WILPY.3.3","1"
"29","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 4","WILPY.4","baby dog"
"30","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","WILPY.4.1","0"
"31","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","WILPY.4.2","0"
"32","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 4","WILPY.4.3","1"
"33","5dc635c5b1cdc24946d210e0","inanimate","lexical","Guess 1","BRISPY.1","old"
"34","5dc635c5b1cdc24946d210e0","inanimate","lexical","Adjective?","BRISPY.1.1","1"
