"","prolific_id","animacy_condtion","frame_content_condition","word_col","Emotion Adj?-Conserv","Confidence"
"1","5f7e292bc98b530dc2c16c4d","inanimate","bleached","DAXY","1","1"
"2","5f7e292bc98b530dc2c16c4d","inanimate","bleached","TROBY","1","1"
"3","5f7e292bc98b530dc2c16c4d","inanimate","bleached","BRISPY","1","2"
"4","600f4d6f796906128a17d781","inanimate","bleached","TROBY","1","2"
"5","600f4d6f796906128a17d781","inanimate","bleached","LARPY","1","2"
"6","58bef6fd31de840001e84ba0","inanimate","bleached","DAXY","1","1"
"7","58bef6fd31de840001e84ba0","inanimate","bleached","SPOOVY","1","1"
"8","58bef6fd31de840001e84ba0","inanimate","bleached","TROBY","1","1"
"9","58bef6fd31de840001e84ba0","inanimate","bleached","BRISPY","1","1"
"10","63e5285c67584a2d544c62c2","inanimate","bleached","BRISPY","1","2"
"11","5d10afdd98423700019f6fc5","inanimate","bleached","DAXY","1","1"
"12","5d10afdd98423700019f6fc5","inanimate","bleached","SPOOVY","1","1"
"13","5d10afdd98423700019f6fc5","inanimate","bleached","TROBY","1","1"
"14","5d10afdd98423700019f6fc5","inanimate","bleached","BRISPY","1","3"
"15","63d94472927e6eb086a7aa36","inanimate","bleached","DAXY","1","1"
"16","63d94472927e6eb086a7aa36","inanimate","bleached","WILPY","1","2"
"17","63d94472927e6eb086a7aa36","inanimate","bleached","SPOOVY","1","1"
"18","63d94472927e6eb086a7aa36","inanimate","bleached","TROBY","1","3"
"19","63d94472927e6eb086a7aa36","inanimate","bleached","BRISPY","1","3"
"20","63d94472927e6eb086a7aa36","inanimate","bleached","LARPY","1","1"
"21","5ead37e98c0ee33cbbe5c14c","inanimate","bleached","DAXY","1","1"
"22","5ead37e98c0ee33cbbe5c14c","inanimate","bleached","SPOOVY","1","1"
"23","5ead37e98c0ee33cbbe5c14c","inanimate","bleached","TROBY","1","1"
"24","5ead37e98c0ee33cbbe5c14c","inanimate","bleached","BRISPY","1","1"
"25","5ead37e98c0ee33cbbe5c14c","inanimate","bleached","LARPY","1","1"
"26","5ff23d181d6cb4710f0bbc63","inanimate","bleached","DAXY","1","1"
"27","5ff23d181d6cb4710f0bbc63","inanimate","bleached","WILPY","1","2"
"28","5ff23d181d6cb4710f0bbc63","inanimate","bleached","SPOOVY","1","2"
"29","5ff23d181d6cb4710f0bbc63","inanimate","bleached","BRISPY","1","3"
"30","636913febcb7369c83a14188","inanimate","bleached","DAXY","1","1"
"31","636913febcb7369c83a14188","inanimate","bleached","SPOOVY","1","1"
"32","636913febcb7369c83a14188","inanimate","bleached","BRISPY","1","1"
"33","5e5c62d12e08c94395d291a3","inanimate","bleached","DAXY","1","2"
"34","5e5c62d12e08c94395d291a3","inanimate","bleached","WILPY","1","1"
"35","5e5c62d12e08c94395d291a3","inanimate","bleached","SPOOVY","1","2"
"36","5e5c62d12e08c94395d291a3","inanimate","bleached","TROBY","1","2"
"37","5e5c62d12e08c94395d291a3","inanimate","bleached","BRISPY","1","2"
"38","564a08bc6902220012c4b1a1","inanimate","bleached","SPOOVY","1","1"
"39","564a08bc6902220012c4b1a1","inanimate","bleached","BRISPY","1","2"
"40","5f3e472b3897d202145e3040","inanimate","bleached","DAXY","1","1"
"41","5f3e472b3897d202145e3040","inanimate","bleached","WILPY","1","2"
"42","5f3e472b3897d202145e3040","inanimate","bleached","TROBY","1","2"
