"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod",3,830.020016800723,844.447134718852,-412.010008400362,824.020016800723,NA,NA,NA
"ac_mod",4,785.691640610902,804.927797835074,-388.845820305451,777.691640610902,46.3283761898214,1,1.00005102129216e-11
"fc_mod",5,785.701801431659,809.746997961874,-387.85090071583,775.701801431659,1.98983917924272,1,0.15835769559209
"int_mod",6,784.928017678515,813.782253514773,-386.464008839258,772.928017678515,2.77378375314413,1,0.095819417089802
