"","Parameter","Median","CI_low","CI_high","pd","ROPE_Percentage","Rhat","ESS"
"1","b_Intercept",3.18099434833558,2.01036456912402,4.71906999222942,1,0,1.00326507674398,1194.12123308111
"2","b_conditionbrispyMat…because",-1.07894161935675,-2.74475079261149,0.38595747311357,0.9225,0.0778947368421053,1.00351663391005,1469.16626647699
"3","b_conditiondaxyMaboutDP",-2.3256685800102,-3.95210774517458,-1.0224073643928,1,0,1.00380616491409,1368.03128801172
"4","b_conditionlarpyMtoVP",-2.98415480911778,-4.54776878603162,-1.70195156730113,1,0,1.00276513304759,1336.78834603493
"5","b_conditionroakingtransitive",-0.905148550497201,-2.5048348384393,0.602659307324673,0.867,0.116052631578947,1.00377783572446,1524.33801263906
"6","b_conditionspoovyMthat",-1.98694327574507,-3.6121046627662,-0.678019029570682,0.99975,0,1.00374972703807,1314.43062137742
"7","b_conditiontrobyMaboutgerund",-0.859121428899705,-2.52854011931562,0.621642334344956,0.86975,0.103684210526316,1.00332623173935,1523.59450766443
"8","b_conditionwilpyMof…because",-2.7704259637087,-4.34011471970722,-1.48593303204375,1,0,1.00449628729395,1347.51738944419
