Parameter,Median,HDI,% in ROPE,MPE,Rhat,ESS
Intercept,1.08,"[0.17, 1.55]",0.00,0.99,1.04,103
animate,-0.74,"[-1.00, -0.48]",0.00,1.00,1.00,2873
lexical,0.21,"[-0.06, 0.50]",0.41,0.93,1.01,521
animate:lexical,-0.32,"[-0.69, 0.04]",0.23,0.96,1.00,2676
